Unnamed: 0,original,normalized,prediction
527,vk ở nhà thằng khác nó chơi con thì nó đánh,vợ ở nhà thằng khác nó chơi con thì nó đánh,vợ chồng ở nhà thằng khác nó chơi con thì nó đánh
528,Dạo này t thấy m hơi gảnk,Dạo này tao thấy mày hơi rảnh,Dạo này tao thấy mày hơi gảnk
529,Tự dưng giờ t ước chipu có thiên phú âm nhạc nhìu thêm chút ( ꈨຶ ˙̫̮ ꈨຶ ),Tự dưng giờ tôi ước chipu có thiên phú âm nhạc nhiều thêm chút ( ꈨຶ ˙̫̮ ꈨຶ ),Tự dưng giờ tôi ước chipu có thiên phú âm nhạc nhiều thêm chút (    )
530,hoá ra chấm máy là nnay,hoá ra chấm máy là như này,hoá ra chấm máy là này
531,Rõ ràng cái hết dui áp lực,Rõ ràng cái hết vui áp lực,Rõ ràng cái hết sức áp lực
532,"Đồ khô nó mới chụp hình đăng lên đc đó, chứ thử đồ nước xem, lại chả đi thay quần trước chứ tâm trí đâu chụp vs choẹt","Đồ khô nó mới chụp hình đăng lên được đó, chứ thử đồ nước xem, lại chả đi thay quần trước chứ tâm trí đâu chụp với choẹt","Đồ khô nó mới chụp hình đăng lên được đó, chứ thử đồ nước xem, lại chả đi thay quần trước chứ tâm trí đâu chụp với choẹt"
533,Có vay có trả vay xong kh muốn trả còn đi hành hung dô tù ăn cơm tù khỏi lo cơm áo gạo tiền khỏi cần đi vay nợ nữa,Có vay có trả vay xong không muốn trả còn đi hành hung vô tù ăn cơm tù khỏi lo cơm áo gạo tiền khỏi cần đi vay nợ nữa,Có vay có trả vay xong không muốn trả còn đi hành hung vô tù ăn cơm tù khỏi lo cơm áo gạo tiền khỏi cần đi vay nợ nữa
534,Hỷ vọng nhận được nhà và xe,Hy vọng nhận được nhà và xe,Hỷ vọng nhận được nhà và xe
535,Lấy e này e bực e ném tiền có mà nát mặt.,Lấy em này em bực em ném tiền có mà nát mặt.,Lấy em này em bực em ném tiền có mà nát mặt.
536,Bữa nhớ trg c2 c3 quá  quả k kịp lớn đúng bằng đầu ngón tay,Bữa nhớ trường cấp 2 cấp 3 quá  quả không kịp lớn đúng bằng đầu ngón tay,Bữa nhớ xong c2 c3 quá quả không kịp lớn đúng bằng đầu ngón tay
537,k biết giống của a lm k,không biết giống của anh làm không,không biết giống của anh làm không
538,Rồi coi mặt nó đi dạo phố có dui khum?,Rồi coi mặt nó đi dạo phố có vui không?,Rồi coi mặt nó đi dạo phố có vui không?
539,"nếu là e ,e sẵn sàng lắng nghe từ những chuyện nhỏ nhất vk chia sẻ","nếu là em ,em sẵn sàng lắng nghe từ những chuyện nhỏ nhất vợ chia sẻ","nếu là em , em sẵn sàng lắng nghe từ những chuyện nhỏ nhất vợ chồng chia sẻ"
540,ở đến năm 30t thì dki vào viện dưỡng lão nữa là vừa :)),ở đến năm 30t thì đăng kí vào viện dưỡng lão nữa là vừa :)),ở đến năm 30t thì đăng kí vào viện dưỡng lão nữa là vừa
541,Chứ k phải vô làm khó xe con trang trí xe xíu cũng làm khó dkm,Chứ không phải vô làm khó xe con trang trí xe xíu cũng làm khó dkm,Chứ không phải vô làm khó xe con trang trí xe xíu cũng làm khó được
542,Dưa hấu sấy khô đấyy,Dưa hấu sấy khô đấy,Dưa hấu sấy khô đấy
543,"chị thử xemmm, em phụ hoạ lai chim cho hhhhh","chị thử xem, em phụ hoạ lai chim cho hhhhh","chị thử xem, em phụ hoạ lại chim cho chị"
544,Chị cuối dễ thưn haaaa,chị cuối dẽ thương ha,Chị cuối dễ thương haaaa
545,s nạ nùng dzữ dzị,sao lạ lùng dữ vậy,sao nạ nùng vậy vậy
546,Thử mang tỏi theo người xem tn.,Thử mang tỏi theo người xem thế nào.,Thử mang tỏi theo người xem tn.
547,"Lại chuẩn bị: ""Kính thưa Hội Đồng xét xử,trong  lúc nóng giận bị cáo đã không nhận thức và kiểm soát đc hành vi của mình,gây hậu quả nghiêm trọng cho bị hại và cho XH","Lại chuẩn bị: ""Kính thưa Hội Đồng xét xử,trong  lúc nóng giận bị cáo đã không nhận thức và kiểm soát được hành vi của mình,gây hậu quả nghiêm trọng cho bị hại và cho xã hội","Lại chuẩn bị: ""Kính thưa Hội Đồng xét xử,trong lúc nóng giận bị cáo đã không nhận thức và kiểm soát được hành vi của mình,gây hậu quả nghiêm trọng cho bị hại và cho xã hội"
548,Ròi ròi cho em coi con cá thiệc đy,Rồi rồi cho em coi con cá thiệt đi,Ròi rồi cho em coi con cá thiệt đi
549,dạo này rảnh lm nên chấm cái,dạo này rảnh lắm nên chấm cái,dạo này rảnh lắm nên chấm cái
550,Chúc b thật nhiều sức khỏe để chiến thắng bệnh tật,Chúc bạn thật nhiều sức khỏe để chiến thắng bệnh tật,Chúc bạn thật nhiều sức để chiến thắng bệnh tật
551,hồi xưa ông bô đzai vãi ò,hồi xưa ông bô đẹp trai vãi à,hồi xưa ông bô đi vãi à
552,"Sống trong lo sợ đồng tiền, mua ko dám mua, ăn ko dám ăn,..","Sống trong lo sợ đồng tiền, mua không dám mua, ăn không dám ăn,..","Sống trong lo sợ đồng tiền, mua không dám mua, ăn không dám ăn,.."
553,Làm cũng như ko làm,Làm cũng như không làm,Làm cũng như không làm
554,"15p hơi ít, 45p ik","15p hơi ít, 45p đi","15p hơi ít, 45p đi"
555,"Chúc b mau khoẻ nhé, cám ơn chia sẻ của b","Chúc bạn mau khoẻ nhé, cám ơn chia sẻ của bạn","Chúc bạn mau khoẻ nhé, cám ơn chia sẻ của bạn"
556,"T luôn chủ động nhắn tin mà nhận lại sự phũ của nó thôi,kiểu như mình là cái j vs nó","Tôi luôn chủ động nhắn tin mà nhận lại sự phũ của nó thôi,kiểu như mình là cái gì với nó","T luôn chủ động nhắn tin mà nhận lại sự phũ của nó thôi,kiểu như mình là cái gì với nó"
557,anh t đỉnh vcl chớ đâu như đại sứ duma jack5tr,anh tôi đỉnh vcl chứ đâu như đại sứ duma jack5tr,anh tôi đỉnh vcl chứ đâu như đại sứ duma jack5tr
558,:))) cần mượn Mi nơ kh em,:))) cần mượn Mi nơ không em,cần mượn Mi nơ không em
559,ko cười làm tróa =))))))))))))),không cười làm chó =))))))))))))),Ko cười làm tróa =)
560,lâu lắm gòi khum đu cái nì,lâu lắm rồi không đu cái này,lâu lắm rồi không được cái này
561,"học hành đi pạn nhá, đừng truyện trò nx","học hành đi bạn nhá, đừng truyện trò nữa","học hành đi bạn nhá, đừng truyện trò nữa"
562,Tóc tôi màu đen nhưng nó ko mượt,Tóc tôi màu đen nhưng nó không mượt,Tóc tôi màu đen nhưng nó không mượt
563,Lúc đó khu t mong mấy anh chụy trẻ nghé đừng có đi biểu tình đập phá để tạo cớ cho TQ bảo hộ dân nó mà khai hỏa.,Lúc đó khu tôi mong mấy anh chị trẻ nghé đừng có đi biểu tình đập phá để tạo cớ cho TQ bảo hộ dân nó mà khai hỏa.,Lúc đó khu tôi mong mấy anh chụy trẻ nghé đừng có đi biểu tình đập phá để tạo cớ cho TQ bảo hộ dân nó mà khai.
564,oke nhma 20k/h e nhé,oke nhưng mà 20k/h em nhé,oke nhưng mà 20k/h e nhé
565,34 t có 1800 cp flc ,34 tuổi có 1800 cổ phiếu flc,34 t có 1800 cp flc
566,Thay vì đi hỏi wc ở đâu thì tôi ra quán cà phê gần đó mua 1 cốc r đi :))),Thay vì đi hỏi wc ở đâu thì tôi ra quán cà phê gần đó mua 1 cốc rồi đi :))),Thay vì đi hỏi wc ở đâu thì tôi ra quán cà phê gần đó mua 1 cốc rồi đi
567,Ê viên này với t mới là đỉnh của chóp nha :))))),Ê viên này với tôi mới là đỉnh của chóp nha :))))),Ê viên này với tôi mới là đỉnh của chóp nha
568,cảnh này quen v trời,cảnh này quen vậy trời,cảnh này quen vậy trời
569,dành cho bạn iu,dành cho bạn yêu,dành cho bạn yêu
570,Ăn này hong em làm cho,Ăn này không em làm cho,Ăn này không em làm cho
571,bảo bố e tổ chức snhat cho Bông đi,bảo bố em tổ chức sinh nhật cho Bông đi,bảo bố em tổ chức sinh nhật cho Bông đi
572,"tôi với bạn cặp đôi song sát, đ biết yên bình là gì =)))))))","tôi với bạn cặp đôi song sát, đéo biết yên bình là gì =)))))))","tôi với bạn cặp đôi song sát, đéo biết yên bình là gì =)"
573,200k 1 quả bảo bố em cũng ko dám,200k 1 quả bảo bố em cũng không dám,200k 1 quả bảo bố em cũng không dám
574,anh cbi tâm lí dần nha,anh chuẩn bị tâm lí dần nha,anh chuẩn bị tâm lí dần nha
575,giả bộ tao tung m hứng ik,giả bộ tôi tung hứng mình đi,giả bộ tao tung mày hứng đi
576,vào xin ảnh kia hộ t cái =))),vào xin ảnh kia hộ tôi cái =))),vào xin ảnh kia hộ tôi cái =)))
577,nhìn mà nghẹt mũi dùm luôn é :)))),nhìn mà nghẹt mũi giùm luôn á :)))),nhìn mà nghẹt mũi dùm luôn em)
578,Chắc ko nhớ lần thi trc thanh niên indo bị giã gạo khi định solo vs trưởng đoàn VN :)),Chắc không nhớ lần thi trước thanh niên indo bị giã gạo khi định solo vs trưởng đoàn VN :)),Chắc không nhớ lần thi trước thanh niên indo bị giã gạo khi định solo vs trưởng đoàn VN
579,Bọc màng bọc tp vào,Bọc màng bọc thực phẩm vào,Bọc màng bọc tp vào
580,"nhanh thiệt, t mới chỉ coi demo cái phim lật mặt lên đời này, mà đã nhìn page chế memes rồi","nhanh thiệt, tôi mới chỉ coi demo cái phim lật mặt lên đời này, mà đã nhìn page chế memes rồi","nhanh thiệt, tôi mới chỉ coi demo cái phim lật mặt lên đời này, mà đã nhìn page chế memes rồi"
581,Trùm cuối ko bao h làm ta thất vọng,Trùm cuối không bao giờ làm ta thất vọng,Trùm cuối ko bao giờ làm ta thất vọng
582,"Sợ nhất mấy loại trông con ko cẩn thận,trẻ con nó ko biết gì sang đường nguy hiểm cho cả nó cả người khác","Sợ nhất mấy loại trông con không cẩn thận,trẻ con nó không biết gì sang đường nguy hiểm cho cả nó cả người khác","Sợ nhất mấy loại trông con không cẩn thận,trẻ con nó không biết gì sang đường nguy hiểm cho cả nó cả người khác"
583,"""Anh đây bé ơi"" chồi ôi dệ thưowngggggg","""Anh đây bé ơi"" trời ơi dễ thương","""Anh đây bé ơi"" rồi ôi dệ thưonggg"
584,hội ng hèn và tự kỉ vn,hội người hèn và tự kỉ vn,hội người hèn và tự kỉ vn
585,Zui khi eo của ck tôi = tôi ,Vui khi eo của chồng tôi = tôi,Zui khi eo của chồng tôi = tôi
586,chắc ng ngồi trên xe cũng hú hồn dữ,chắc người ngồi trên xe cũng hú hồn dữ,chắc người ngồi trên xe cũng hú hồn dữ
587,điều quan trọng là bh bao cám cò được xuất khẩu,điều quan trọng là bao giờ bao cám cò được xuất khẩu,điều quan trọng là bh bao cám cò được xuất khẩu
588,"lúc làm chưa cưới vk, giờ lấy vk mới thêm 2 đứa con nữa mới xong.","lúc làm chưa cưới vợ, giờ lấy vợ mới thêm 2 đứa con nữa mới xong.","lúc làm chưa cưới vợ, giờ lấy vợ mới thêm 2 đứa con nữa mới xong."
589,Nếu b cứ ôm đồm 1 mình thì k ai hiểu dc sự vất vả của b đâu.,Nếu bạn cứ ôm đồm 1 mình thì không ai hiểu được sự vất vả của bạn đâu.,Nếu bạn cứ ôm đồm 1 mình thì không ai hiểu được sự vất vả của bạn đâu.
590,Thu nhập c vững ko c,Thu nhập cậu vững không cậu,Thu nhập c vững ko c
591,Đòi mà nta k rep thì ltn,Đòi mà người ta không rep thì làm thế nào,Đòi mà nta không rep thì ltn
592,"Chắc ny mình mới đang lớp 6, chị mắc võng ra nằm r e cứ lo học đi chị đợi dk","Chắc người yêu mình mới đang lớp 6, chị mắc võng ra nằm rồi em cứ lo học đi chị đợi được","Chắc người yêu mình mới đang lớp 6, chị mắc võng ra nằm rồi em cứ lo học đi chị đợi dk"
593,chồng chất nỗi đau và con tim băng já,chồng chất nỗi đau và con tim băng giá,chồng chất nỗi đau và con tim băng
594,thảo nào ngyeu mình bắt nạt mình ghê z,thảo nào người yêu mình bắt nạt mình ghê vậy,thảo nào người yêu mình bắt nạt mình ghê vậy
595,tự dưng em nhớ đến con chuột lang nuớc lai trái kiwi trong lời p’freen quá chị em :))),tự dưng em nhớ đến con chuột lang nước lai trái kiwi trong lời p’freen quá chị em :))),tự dưng em nhớ đến con chuột lang nước lại trái kiwi trong lời mẹfreen quá chị em
596,nước mắt em lau bằng ngành học mới thui,nước mắt em lau bằng ngành học mới thôi,nước mắt em lau bằng ngành học mới thôi
597,coai mà nchien lợi với tui,coi mà nói chuyện lại với tui,Coi mà có lợi với tui
598,Nhưng công nhận bạn vô duyên thật éo phải là tự nhiên như ở nhà đâu,Nhưng công nhận bạn vô duyên thật đéo phải là tự nhiên như ở nhà đâu,Nhưng công nhận bạn vô duyên thật éo phải là tự nhiên như ở nhà đâu
599,"Quá xứng đáng, chúc mừng e","Quá xứng đáng, chúc mừng em","Quá xứng đáng, chúc mừng em"
600,ủa dị cuối cùng có ra được không,ủa vậy cuối cùng có ra được không,ủa vậy cuối cùng có ra được không
601,"Thời tới gòi mấy cỵ ei cô dì chú bác ơi, thời tới cản hok kịp, cb đc làm diễn viên dòi","Thời tới rồi mấy chị ơi cô dì chú bác ơi, thời tới cản không kịp, chuẩn bị được làm diễn viên rồi","Thời tới rồi mấy chị em cô dì chú bác ơi, thời tới cản không kịp, cb được làm diễn viên rồi"
602,Coi phim của ck iu xong là sứt mẻ khỏi lành,Coi phim của chồng yêu xong là sứt mẻ khỏi lành,Coi phim của chồng yêu xong là sứt mẻ khỏi lành
603,Làm z đi ku rồi bã cho m cái nịt,Làm vậy đi cu rồi bã cho mày cái nịt,Làm vậy đi ku rồi bã cho mày cái nịt
604,Điên lắm mà chẳng giám lệch để mong n trả,Điên lắm mà chẳng giám lệch để mong nó trả,Điên lắm mà chẳng giám lệch để mong người yêu trả
605,nu9 bản real day royyy,nu9 bản real đây rồi,Nu9 bản real day rồi
606,ly tsua big size trong tủ lạnh đâu rùii,ly trà sữa big size trong tủ lạnh đâu rồi,ly cho siêu size trong tủ lạnh đâu rồi
607,T moq nhỏ kia hiểu =)),Tôi mong nhỏ kia hiểu =)),T mong nhỏ kia hiểu =))
608,"Tui zứi chị 2 cách nhao 7 tủi, đại chiến 800 hiệp mũi ngài:33333","Tôi với chị 2 cách nhau 7 tuổi, đại chiến 800 hiệp mỗi ngày:33334","Tui với chị 2 cách nhau 7 tuổi, đại chiến 800 hiệp mũi ngài:33333"
609,"Bởi z, balo lúc nào cũng có cái túi bóng để dành khi mua hàng ở ck, tiện bỏ rác vào","Bởi vậy, balo lúc nào cũng có cái túi bóng để dành khi mua hàng ở chợ, tiện bỏ rác vào","Bởi vậy, balo lúc nào cũng có cái túi bóng để dành khi mua hàng ở công ty, tiện bỏ rác vào"
610,Vui ông nội t chứ vui,Vui ông nội tôi chứ vui,Vui ông nội tôi chứ vui
611,đáng lẽ xưa a nên đi du học ở TĐ mơid đúng,đáng lẽ xưa anh nên đi du học ở TĐ mới đúng,đáng lẽ xưa anh nên đi du học ở TĐ mới đúng
612,k biết ai mới là sếp haha,không biết ai mới là sếp haha,không biết ai mới là sếp haha
613,Này thì cướp vợ a này,Này thì cướp vợ anh này,Này thì cướp vợ anh này
614,là chốt 9h tối ngày 9.5 có kết quả cho cuộn phim về cuộc đời agency đúng ko ad,là chốt 9h tối ngày 9.5 có kết quả cho cuộn phim về cuộc đời agency đúng không ad,là chốt 9h tối ngày 9.5 có kết quả cho cuộn phim về cuộc đời agency đúng không ad
615,"Thế nhà mình ngược lại , ng ko ăn đc mỡ là mẹ ck mình, ngồi bữa ăn bới bới , cầm đũa gảy hết đĩa thịt lại đến bát dưa sung, dưa sung cũng gảy bung bét , chả hiểu tìm quả sung gắn vàng hay gì ,nhìn khó chịu .","Thế nhà mình ngược lại , người không ăn được mỡ là mẹ chồng mình, ngồi bữa ăn bới bới , cầm đũa gảy hết đĩa thịt lại đến bát dưa sung, dưa sung cũng gảy bung bét , chả hiểu tìm quả sung gắn vàng hay gì ,nhìn khó chịu .","Thế nhà mình ngược lại , người không ăn được mỡ là mẹ chồng mình, ngồi bữa ăn bới bới , cầm đũa gảy hết đĩa thịt lại đến bát dưa sung, dưa sung cũng gảy bung bét , chả hiểu tìm quả sung gắn vàng hay gì ,nhìn khó chịu ."
616,"trong khi đó nó vẫn up ảnh lên wall và rep cmt của ngk rất lẹ nha  và r đó, chiện kết thúc lãng xẹt z à  hơn 3 năm r và t vẫn khs nó lại hành động nt, đúng là đời  hồi đó ngày nào t cũm nghĩ về chiện với nó xong ngồi khóc bù lu bù loa, đầu t còn hiện ra 7749 kịch bản yêu - hận giữa bb với nhau, và nvc tất nhiên là nhỏ đó với t r  giờ nhiều lúc nghĩ lại vẫn buồn á nma hok có khóc nữa, mà từ lúc ấy t cũm k dám thân thiết với ai như t từng thân với nó nữa r, sợ ma","trong khi đó nó vẫn up ảnh lên wall và rep cmt của người khác rất lẹ nha  và rồi đó, chuyện kết thúc lãng xẹt vậy à  hơn 3 năm rồi và tôi vẫn khs nó lại hành động nt, đúng là đời  hồi đó ngày nào tôi cũng nghĩ về chuyện với nó xong ngồi khóc bù lu bù loa, đầu tôi còn hiện ra 7749 kịch bản yêu - hận giữa bạn bè với nhau, và nvc tất nhiên là nhỏ đó với tôi rồi  giờ nhiều lúc nghĩ lại vẫn buồn á nhưng mà không có khóc nữa, mà từ lúc ấy tôi cũng không dám thân thiết với ai như tôi từng thân với nó nữa rồi, sợ ma","trong khi đó nó vẫn up ảnh lên wall và rep cmt của người khác rất lẹ nha và rồi đó, chuyện kết thúc lãng xẹt vậy à hơn 3 năm rồi và tôi vẫn không hiểu sao nó lại hành động như vậy, đúng là đời hồi đó ngày nào tôi cũng nghĩ về chuyện với nó xong ngồi khóc bù lu bù bù loa, đầu tôi còn hiện ra 7749 kịch bản yêu - hận giữa vợ chồng với nhau, và vợ chồng tất nhiên là nhỏ đó với tôi rồi giờ nhiều lúc nghĩ lại vẫn buồn á nhưng mà không có khóc nữa, mà từ lúc ấy tôi cũ"
617,Chính tôi  đang nghèo kiết xác nhưng k dám hỏi nợ,Chính tôi  đang nghèo kiết xác nhưng không dám hỏi nợ,Chính tôi đang nghèo kiết xác nhưng không dám hỏi nợ
618,Lo mà học sang năm mà thi đại học nựa nhé  anh bé,Lo mà học sang năm thi đại học nữa nhé anh bé,Lo mà học sang năm mà thi đại học nữa nhé anh bé
619,đã kẹt gặp mấy cha xe lớn lane xe máy đi hàng 3 bố ai mà ko kẹt cho được .,đã kẹt gặp mấy cha xe lớn lane xe máy đi hàng 3 bố ai mà không kẹt cho được .,đã kẹt gặp mấy cha xe lớn lane xe máy đi hàng 3 bố ai mà không kẹt cho được .
620,"chứ k phải im lặng, block, cạch mặt họ đời đời hả?","chứ không phải im lặng, block, cạch mặt họ đời đời hả?","chứ không phải im lặng, block, cạch mặt họ đời đời hả?"
621,Ở VN mà như này t đi vội,Ở VN mà như này tôi đi vội,Ở VN mà như này tôi đi vội
622,Ai bảo 2 ông nhẹ nhàng quá lmj :))),Ai bảo 2 ông nhẹ nhàng quá làm gì :))),Ai bảo 2 ông nhẹ nhàng quá làm gì
623,Nè câu của b nè,Nè câu của bạn nè,Nè câu của bạn nè
624,"tụi mình đi cast thôy pà ơiii, thời tới rrrrr","tụi mình đi cast thôi bà ơi, thời tới rồi","tụi mình đi cast thôy bà ơi, thời tới rồi"
625,sạch thì chưa thấy đc cái đỡ bị mùi,sạch thì chưa thấy được cái đỡ bị mùi,sạch thì chưa thấy được cái đỡ bị mùi
626,mình nhịn ăn sáng cũng ko đói và thấy ko có vde gì cả.,mình nhịn ăn sáng cũng không đói và thấy không có vấn đề gì cả.,mình nhịn ăn sáng cũng không đói và thấy không có vấn đề gì cả.
627,cho mượn tiền đi du lịt,cho mượn tiền đi du lịch,cho mượn tiền đi du lịch
628,Fb t không thấy cno spoil phim Lật mặt nk mà nhìn quá trời lật mặt memes,Fb tôi không thấy chúng nó spoil phim Lật mặt nhưng mà nhìn quá trời lật mặt memes,Fb tôi không thấy cả spoil phim Lật mặt người yêu mà nhìn quá trời lật mặt memes
629,tnay thì chỉ có ng hèng mới sống thảnh thơi,thế này thì chỉ có người hèn mới sống thảnh thơi,nay thì chỉ có người hèn mới sống thảnh thơi
630,bà lướt trúng bh chưa,bà lướt trúng bao giờ chưa,bà lướt trúng bh chưa
631,dạo này e phúc hậu gke,dạo này em phúc hậu ghê,dạo này em phúc hậu ghê
632,t kiếm đc 5tr ở tuổi 16 là móc két mẹ,tôi kiếm đc 5tr ở tuổi 16 là móc két mẹ,tôi kiếm được 5tr ở tuổi 16 là móc két mẹ
633,"K nhận Xin lỗi, giảng hòa bạn nhé","Không nhận Xin lỗi, giảng hòa bạn nhé","K nhận Xin lỗi, giảng bạn nhé"
634,Quan trọng là mặt ng ta xinh,Quan trọng là mặt người ta xinh,Quan trọng là mặt người ta xinh
635,dzô đi cho ổn định,vô đi cho ổn định,vô đi cho ổn định
636,Năm nay ko có măng cụt chín ăn rồi,Năm nay không có măng cụt chín ăn rồi,Năm nay không có măng cụt chín ăn rồi
637,bà nch vui qá bữa nào mình đi chơi hong,bà nói chuyện vui quá bữa nào mình đi chơi không,bà nói chuyện vui quá bữa nào mình đi chơi không
638,Bạn nên nhìn nhận lại bản thân để tự sữa chữa trước rồi vk ck ngồi lại tâm sự với nhau,Bạn nên nhìn nhận lại bản thân để tự sữa chữa trước rồi vợ chồng ngồi lại tâm sự với nhau,Bạn nên nhìn nhận lại bản thân để tự sữa chữa trước rồi vợ chồng ngồi lại tâm sự với nhau
639,mấy năm trc mất điện nguyên ngày,mấy năm trước mất điện nguyên ngày,mấy năm trước mất điện nguyên ngày
640,cứ bình tĩnh :)) 2 năm nữa chị mới gặp ny chị ,cứ bình tĩnh :)) 2 năm nữa chị mới gặp người yêu chị,cứ bình tĩnh 2 năm nữa chị mới gặp người yêu chị
641,"Không có khók nha, nín nha","Không có khóc nha, nín nha","Không có khóc nha, nín nha"
642,em vô nằm vs chị e như đr xg ngợp nước đau lòng,em vô nằm với chị em như đr xong ngợp nước đau lòng,em vô nằm với chị em như đang khóc ngợp nước đau lòng
643,"gì vậy trđuuu 30t mà trung niên gì, t 35t gòi còn đi gắp thú bông với ck iu nè huhu ~","gì vậy trđuuu 30t mà trung niên gì, tôi 35t rồi còn đi gắp thú bông với chồng yêu nè huhu ~","gì vậy trời 30t mà trung niên gì, tôi 35t rồi còn đi gắp thú bông với chồng yêu nè huhu ~"
644,Bảo bạn vô duyên vì bạn ăn mà bới bới chứ đâu phải vì bạn ko ăn thịt mỡ,Bảo bạn vô duyên vì bạn ăn mà bới bới chứ đâu phải vì bạn không ăn thịt mỡ,Bảo bạn vô duyên vì bạn ăn mà bới bới chứ đâu phải vì bạn không ăn thịt mỡ
645,em còn thở dc hok z,em còn thở được không vậy,em còn thở được không vậy
646,", ko bit cmt sao",", không biết cmt sao",", không bit cmt sao"
647,người ae có làm dc việc k :)),người anh em có làm được việc không :)),người anh em có làm được việc không
648,"Em chưa có kinh nghiệm, không uống được bia rượu, không biết cty mình lấy mấy điểm thanh lịch ạ??","Em chưa có kinh nghiệm, không uống được bia rượu, không biết công ty mình lấy mấy điểm thanh lịch ạ??","Em chưa có kinh nghiệm, không uống được bia rượu, không biết công ty mình lấy mấy điểm thanh lịch ạ"
649,khỏi phải diễn nữa đy,khỏi phải diễn nữa đi,khỏi phải diễn nữa đi
650,"Đàn ông thích ngọt đôi khi thích được tán dương nên mình nghĩ bạn nên mở lòng với ck, ck làm gì tốt thì mình khen với động viên ck cũng chẳng mất mát gì mà ổng lại vui ổng sẽ thấy được người bạn đời mình ủng hộ","Đàn ông thích ngọt đôi khi thích được tán dương nên mình nghĩ bạn nên mở lòng với chồng, chồng làm gì tốt thì mình khen với động viên chồng cũng chẳng mất mát gì mà ổng lại vui ổng sẽ thấy được người bạn đời mình ủng hộ","Đàn ông thích ngọt đôi khi thích được tán dương nên mình nghĩ bạn nên mở lòng với chồng, chồng làm gì tốt thì mình khen với động viên chồng cũng chẳng mất mát gì mà ổng lại vui ổng sẽ thấy được người bạn đời mình ủng hộ"
651,Màu cam nâu supernova của Bobbi Brown vs màu đỏ ruby của Kiko ạ Ọ v Ọ,Màu cam nâu supernova của Bobbi Brown với màu đỏ ruby của Kiko ạ Ọ v Ọ,Màu cam nâu supernova của Bobbi Brown vs màu đỏ ruby của Kiko ạ Ọ v Ọ
652,TLD vừa trong trẻo vừa ngọt ngào nhìn một lần liền ấn tượng đẹp điên đảo tâm hồn kao aaaaaa,TLD vừa trong trẻo vừa ngọt ngào nhìn một lần liền ấn tượng đẹp điên đảo tâm hồn tao aaaaaa,TLD vừa trong trẻo vừa ngọt ngào nhìn một lần liền ấn tượng đẹp điên đảo tâm hồn kao aaaaaa
653,AE mà sao kỳ vậy.,Anh em mà sao kỳ vậy.,AE mà sao kỳ vậy.
654,ủa đcm vừa mới nói về cái này phải 0 anh,ủa đcm vừa mới nói về cái này phải không anh,ủa điện thoại vừa mới nói về cái này phải không anh
655,"tóc khong nhuộm nhưng vẫn cháy, ý là cháy nắng","tóc không nhuộm nhưng vẫn cháy, ý là cháy nắng","tóc không nhuộm nhưng vẫn cháy, ý là cháy nắng"
656,"đang đói định đi ăn, nguyên chiếc xe du lịch tấp zô t muốn xĩu ngang","đang đói định đi ăn, nguyên chiếc xe du lịch tấp vô tôi muốn xỉu ngang","đang đói định đi ăn, nguyên chiếc xe du lịch tấp vô tôi muốn xĩu ngang"
657,Hết nốt hôm nay unfollow page thứ 3 dô lại,Hết nốt hôm nay unfollow page thứ 3 vô lại,Hết nốt hôm nay unfollow page thứ 3 vô lại
658,bạn ren mà hiểu đựt,bạn ren mà hiểu được,bạn ren mà hiểu được
659,Đừng có hỏi em thít hay khum mà cứ tặng luôn đi nhá:)),Đừng có hỏi em thích hay không mà cứ tặng luôn đi nhá:)),Đừng có hỏi em thít hay không mà cứ tặng luôn đi nhá:))
660,"Tẩy trang đi xem sao, chứ tin ko dc các muội muội trung","Tẩy trang đi xem sao, chứ tin không được các muội muội trung","Tẩy trang đi xem sao, chứ tin ko đc các muội muội trung"
661,Tôi đọc xong tôi cũng cừi nà xaoooo,Tôi đọc xong tôi cũng cười là sao,Tôi đọc xong tôi cũng cười là sao
662,Hợp lý mà t có thấy Kiên sai chỗ nào đâu.,Hợp lý mà tôi có thấy Kiên sai chỗ nào đâu.,Hợp lý mà tôi có thấy Kiên sai chỗ nào đâu.
663,"tr bữa t đi vs bạn t, đang ngồi hiu hiu tnhien nó nói t là có 1 cặp nam nữ đang...nhau ở dưới hồ, mà t thấy tht nha, bà kia còn nhún nhún nữa","trời bữa tôi đi với bạn tôi, đang ngồi hiu hiu tự nhiên nó nói tôi là có 1 cặp nam nữ đang...nhau ở dưới hồ, mà tôi thấy thật nha, bà kia còn nhún nhún nữa","trời bữa tôi đi với bạn tôi, đang ngồi hiếu hiếu tôinhiên nó nói tôi là có 1 cặp nam nữ đang...nhau ở dưới hồ, mà tôi thấy tht nha, bà kia còn nhún nhún nữa"
664,:)))))))) mốt mời lun zk ck cho đủ nhé,:)))))))) mốt mời luôn vợ chồng cho đủ nhé,mốt mời luôn vợ chồng chồng cho đủ nhé
665,địx cmm xẩy ra ở một làng quê bbr,địt cmm xảy ra ở một làng quê bbr,được cmm xảy ra ở một làng quê bbr
